bgrp,Day_Count,Day_Low,K12_Count,K12_Low
420030103001,0.0,-99999.0,0.0,-99999.0
420030103002,1.0,0.0,0.0,-99999.0
420030103003,2.0,2.0,0.0,-99999.0
420030103004,0.0,-99999.0,0.0,-99999.0
420030201001,3.0,3.0,1.0,1.0
420030201002,2.0,2.0,0.0,-99999.0
420030201003,1.0,1.0,0.0,-99999.0
420030201004,0.0,-99999.0,0.0,-99999.0
420030201005,2.0,2.0,1.0,1.0
420030201006,5.0,5.0,3.0,3.0
420030203001,0.0,-99999.0,0.0,-99999.0
420030305001,2.0,0.0,0.0,-99999.0
420030305002,1.0,0.0,1.0,0.0
420030402001,0.0,-99999.0,0.0,-99999.0
420030402002,1.0,1.0,2.0,0.0
420030404001,0.0,-99999.0,0.0,-99999.0
420030404002,1.0,0.0,1.0,1.0
420030405001,0.0,-99999.0,0.0,-99999.0
420030405002,1.0,1.0,1.0,0.0
420030406001,0.0,-99999.0,0.0,-99999.0
420030409001,2.0,1.0,1.0,1.0
420030409002,0.0,-99999.0,0.0,-99999.0
420030409003,0.0,-99999.0,0.0,-99999.0
420030501001,0.0,-99999.0,1.0,0.0
420030501002,0.0,-99999.0,1.0,0.0
420030501003,0.0,-99999.0,2.0,0.0
420030506001,0.0,-99999.0,1.0,0.0
420030506002,1.0,0.0,0.0,-99999.0
420030506003,1.0,0.0,1.0,0.0
420030509001,1.0,0.0,1.0,0.0
420030510001,2.0,0.0,0.0,-99999.0
420030510002,1.0,0.0,0.0,-99999.0
420030511001,0.0,-99999.0,0.0,-99999.0
420030603001,0.0,-99999.0,0.0,-99999.0
420030603002,0.0,-99999.0,4.0,0.0
420030605001,0.0,-99999.0,0.0,-99999.0
420030605002,0.0,-99999.0,0.0,-99999.0
420030703001,1.0,0.0,1.0,0.0
420030703002,0.0,-99999.0,0.0,-99999.0
420030703003,0.0,-99999.0,0.0,-99999.0
420030705001,0.0,-99999.0,0.0,-99999.0
420030705002,0.0,-99999.0,0.0,-99999.0
420030705003,0.0,-99999.0,0.0,-99999.0
420030706001,0.0,-99999.0,2.0,1.0
420030706002,0.0,-99999.0,0.0,-99999.0
420030708001,0.0,-99999.0,0.0,-99999.0
420030708002,1.0,0.0,3.0,2.0
420030709001,0.0,-99999.0,0.0,-99999.0
420030709002,0.0,-99999.0,0.0,-99999.0
420030709003,1.0,0.0,1.0,0.0
