bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
420030103001,0,0,0,0.0,57.6800003052,42.3199996948
420030103002,1995,0,1995,59.7999992371,4.90000009537,95.0999984741
420030103003,348,0,348,98.5800018311,4.01999998093,95.9800033569
420030103004,311,0,311,98.1100006104,3.42000007629,96.5800018311
420030201001,1422,0,1422,99.0899963379,3.21000003815,96.7900009155
420030201002,876,0,876,93.5899963379,5.26999998093,94.7300033569
420030201003,28,0,28,100.0,0.0,100.0
420030201004,352,190,542,67.9199981689,5.44000005722,94.5599975586
420030201005,8,0,8,88.8899993896,17.9300003052,82.0699996948
420030201006,402,0,402,95.0400009155,12.0799999237,87.9199981689
420030203001,253,0,253,41.0699996948,14.6499996185,85.3499984741
420030305001,865,511,1376,98.6399993896,48.4700012207,51.5299987793
420030305002,848,2,850,100.0,10.220000267,89.7799987793
420030402001,607,179,786,97.8799972534,53.1100006104,46.8899993896
420030402002,1741,0,1741,98.3600006104,10.3999996185,89.5999984741
420030404001,560,0,560,88.0500030518,6.55000019073,93.4499969482
420030404002,1751,41,1792,96.7600021362,27.4500007629,72.5500030518
420030405001,1729,175,1904,100.0,9.02000045776,90.9800033569
420030405002,1753,32,1785,99.7200012207,9.81999969482,90.1800003052
420030406001,2105,107,2212,92.4700012207,4.36999988556,95.6299972534
420030409001,971,33,1004,90.6999969482,45.4599990845,54.5400009155
420030409002,23,1050,1073,94.1200027466,98.1699981689,1.83000004292
420030409003,4,291,295,41.6100006104,100.0,0.0
420030501001,454,44,498,88.3000030518,15.2600002289,84.7399978638
420030501002,323,51,374,89.9000015259,25.7900009155,74.2099990845
420030501003,590,98,688,94.6399993896,6.55000019073,93.4499969482
420030506001,320,449,769,83.1399993896,64.8300018311,35.1699981689
420030506002,242,13,255,52.7999992371,18.3199996948,81.6800003052
420030506003,198,349,547,95.3000030518,85.0199966431,14.9799995422
420030509001,166,950,1116,92.8499984741,87.4100036621,12.5900001526
420030510001,450,352,802,85.8700027466,82.2900009155,17.7099990845
420030510002,721,423,1144,97.6100006104,53.9000015259,46.0999984741
420030511001,902,210,1112,99.1100006104,78.8799972534,21.1200008392
420030603001,1114,0,1114,100.0,4.28000020981,95.7200012207
420030603002,1218,0,1218,99.2699966431,20.2000007629,79.8000030518
420030605001,508,160,668,100.0,43.0499992371,56.9500007629
420030605002,338,241,579,95.5400009155,71.1699981689,28.8299999237
420030703001,568,125,693,100.0,34.6100006104,65.3899993896
420030703002,687,73,760,97.6900024414,45.7599983215,54.2400016785
420030703003,408,268,676,93.1100006104,50.7900009155,49.2099990845
420030705001,454,280,734,58.3899993896,0.0,0.0
420030705002,603,121,724,100.0,19.4200000763,80.5800018311
420030705003,890,110,1000,98.4300003052,19.7700004578,80.2300033569
420030706001,541,366,907,98.4800033569,59.4500007629,40.5499992371
420030706002,705,432,1137,97.9300003052,57.6800003052,42.3199996948
420030708001,593,120,713,98.3399963379,22.7000007629,77.3000030518
420030708002,489,478,967,98.6699981689,68.5299987793,31.4699993134
420030709001,1476,186,1662,94.3199996948,21.6000003815,78.4000015259
420030709002,661,29,690,87.6699981689,0.0,0.0
420030709003,452,358,810,90.8099975586,72.2799987793,27.7199993134
420030709004,922,92,1014,67.9199981689,0.0,0.0
420030802001,715,70,785,74.8300018311,14.4799995422,85.5199966431
420030802002,625,0,625,99.2099990845,9.35000038147,90.6500015259
420030804001,662,4,666,99.8499984741,3.20000004768,96.8000030518
420030804002,699,0,699,99.5699996948,5.61999988556,94.3799972534
420030806001,750,16,766,58.3400001526,0.0,0.0
420030806002,685,0,685,100.0,16.8199996948,83.1800003052
420030807001,748,80,828,98.6900024414,9.72999954224,90.2699966431
420030807002,886,41,927,97.9899978638,9.15999984741,90.8399963379
420030809001,989,0,989,99.4000015259,0.0,100.0
420030809002,755,17,772,100.0,3.02999997139,96.9700012207
420030901001,1308,0,1308,100.0,0.0,100.0
420030901002,481,0,481,89.9100036621,6.80000019073,93.1999969482
420030902001,849,22,871,99.8899993896,4.17000007629,95.8300018311
420030902002,600,78,678,63.8400001526,26.3799991608,73.6200027466
420030902003,536,165,701,100.0,40.8300018311,59.1699981689
420030903001,1081,0,1081,100.0,0.0,100.0
420030903002,548,0,548,100.0,0.0,100.0
420031005001,202,476,678,82.2799987793,80.0699996948,19.9300003052
420031005002,368,487,855,68.1299972534,73.7099990845,26.2900009155
420031011001,1339,0,1339,100.0,0.0,100.0
420031011002,641,0,641,100.0,5.11000013351,94.8899993896
420031011003,603,78,681,98.8399963379,24.6499996185,75.3499984741
420031014001,303,415,718,65.8099975586,61.1699981689,38.8300018311
420031014002,0,0,0,0.0,0.0,0.0
420031014003,321,491,812,98.7799987793,55.0900001526,44.9099998474
420031014004,0,437,437,59.8600006104,0.0,0.0
420031016001,12,16,28,3.26999998093,0.0,0.0
420031017001,507,43,550,90.6100006104,7.42999982834,92.5699996948
420031017002,726,0,726,84.6200027466,0.0,100.0
420031018001,391,264,655,65.1100006104,72.3199996948,27.6800003052
420031018002,932,330,1262,83.25,35.4900016785,64.5100021362
420031102001,361,413,774,95.7900009155,73.1699981689,26.8299999237
420031102002,66,420,486,66.0299987793,89.8199996948,10.1800003052
420031102003,486,656,1142,95.4100036621,69.0500030518,30.9500007629
420031102004,825,312,1137,92.4400024414,53.0699996948,46.9300003052
420031106001,145,460,605,62.4399986267,96.7600021362,3.24000000954
420031106002,0,0,0,0.0,0.0,0.0
420031106003,442,195,637,88.3499984741,44.2799987793,55.7200012207
420031113001,595,118,713,94.1900024414,46.75,53.25
420031113002,409,180,589,94.3899993896,43.7400016785,56.2599983215
420031113003,506,30,536,92.5699996948,38.9099998474,61.0900001526
420031113004,653,7,660,97.1999969482,42.3600006104,57.6399993896
420031114001,428,62,490,85.2200012207,28.9799995422,71.0199966431
420031114002,538,28,566,72.75,0.0,100.0
420031115001,722,0,722,95.3799972534,13.9600000381,86.0400009155
420031115002,1413,39,1452,94.4100036621,27.8299999237,72.1699981689
420031115003,167,0,167,98.2399978638,1.71000003815,98.2900009155
420031115004,623,102,725,94.7699966431,20.6499996185,79.3499984741
420031203001,221,211,432,45.3800010681,60.1800003052,39.8199996948
420031203002,396,179,575,82.3799972534,51.2599983215,48.7400016785
420031204001,492,13,505,93.0,34.5900001526,65.4100036621
420031204002,131,116,247,75.7699966431,58.4799995422,41.5200004578
420031207001,308,109,417,90.6500015259,44.8800010681,55.1199989319
420031207002,349,9,358,100.0,34.9199981689,65.0800018311
420031208001,213,69,282,79.4400024414,87.2200012207,12.779999733
420031208002,415,71,486,96.4300003052,23.4699993134,76.5299987793
420031301001,226,104,330,40.1899986267,92.6299972534,7.36999988556
420031301002,11,27,38,6.96000003815,0.0,0.0
420031301003,152,215,367,67.5899963379,100.0,0.0
420031302001,199,151,350,52.8699989319,0.0,0.0
420031302002,142,76,218,30.7900009155,0.0,0.0
420031303001,255,106,361,100.0,37.9300003052,62.0699996948
420031303002,193,12,205,71.6800003052,14.0,86.0
420031303003,357,114,471,93.0800018311,28.0200004578,71.9800033569
420031304001,344,55,399,100.0,36.7999992371,63.2000007629
420031304002,251,92,343,71.1600036621,50.25,49.75
420031304003,66,15,81,26.1299991608,0.0,0.0
420031306001,307,22,329,57.0200004578,7.19000005722,92.8099975586
420031306002,291,276,567,88.0400009155,53.1199989319,46.8800010681
420031306003,343,317,660,33.9199981689,76.9899978638,23.0100002289
420031401001,828,420,1248,97.5,72.9599990845,27.0400009155
420031401002,753,1019,1772,93.4100036621,80.7200012207,19.2800006866
420031401003,356,61,417,79.1299972534,24.5499992371,75.4499969482
420031401004,655,999,1654,93.3399963379,65.8099975586,34.1899986267
420031402001,360,519,879,96.6999969482,85.0400009155,14.9600000381
420031402002,1002,448,1450,94.2799987793,77.8300018311,22.1700000763
420031403001,404,386,790,100.0,72.8499984741,27.1499996185
420031403002,617,300,917,91.1500015259,53.9199981689,46.0800018311
420031403003,617,281,898,98.4599990845,45.8899993896,54.1100006104
420031403004,351,361,712,97.2699966431,69.5800018311,30.4200000763
420031404001,186,422,608,86.0,89.2799987793,10.720000267
420031404002,321,290,611,94.8799972534,60.7099990845,39.2900009155
420031404003,274,502,776,81.2600021362,88.5800018311,11.4200000763
420031405001,413,216,629,77.5599975586,19.9300003052,80.0699996948
420031405002,333,170,503,96.5500030518,61.9000015259,38.0999984741
420031405003,366,227,593,82.1299972534,68.1100006104,31.8899993896
420031406001,227,582,809,64.1600036621,85.0999984741,14.8999996185
420031406002,274,450,724,94.0299987793,79.5999984741,20.3999996185
420031406003,612,354,966,99.6900024414,49.2700004578,50.7299995422
420031408001,208,580,788,40.8499984741,73.7799987793,26.2199993134
420031408002,1290,295,1585,88.9899978638,12.2700004578,87.7300033569
420031408003,727,26,753,89.2200012207,6.84999990463,93.1500015259
420031410001,456,254,710,76.5100021362,67.1900024414,32.8100013733
420031411001,5,312,317,23.2900009155,96.9300003052,3.06999993324
420031413001,781,393,1174,77.4400024414,45.7099990845,54.2900009155
420031413002,46,629,675,43.0800018311,76.4300003052,23.5699996948
420031413003,1642,131,1773,84.6699981689,0.0,100.0
420031414001,152,298,450,44.9099998474,0.0,0.0
420031414002,202,260,462,67.6399993896,0.0,0.0
420031414003,452,447,899,91.6399993896,62.4399986267,37.5600013733
420031414004,401,376,777,45.7099990845,58.9000015259,41.0999984741
420031414005,773,66,839,86.8499984741,49.2099990845,50.7900009155
420031516001,0,173,173,15.1800003052,0.0,0.0
420031516002,208,370,578,81.5199966431,77.1399993896,22.8600006104
420031516003,8,57,65,12.6499996185,0.0,0.0
420031517001,805,110,915,98.1800003052,30.8600006104,69.1399993896
420031517002,137,287,424,66.7699966431,54.0200004578,45.9799995422
420031517003,9,114,123,16.5499992371,0.0,0.0
420031517004,279,121,400,64.7200012207,0.0,100.0
420031517005,743,0,743,82.0999984741,8.93000030518,91.0699996948
420031517006,543,172,715,65.1200027466,0.0,0.0
420031608001,0,0,0,0.0,0.0,0.0
420031608002,293,0,293,47.3300018311,0.0,0.0
420031608003,0,0,0,0.0,0.0,0.0
420031608004,210,79,289,39.3699989319,77.4800033569,22.5200004578
420031609001,957,0,957,99.7900009155,6.44000005722,93.5599975586
420031609002,1830,24,1854,96.9199981689,7.90999984741,92.0899963379
420031702001,613,11,624,99.2099990845,15.4099998474,84.5899963379
420031702002,770,1,771,95.4199981689,5.13000011444,94.8700027466
420031702003,1202,32,1234,99.5999984741,0.0,100.0
420031702004,1049,0,1049,100.0,5.36000013351,94.6399993896
420031706001,164,132,296,90.8000030518,64.7600021362,35.2400016785
420031706002,449,231,680,98.8399963379,58.8800010681,41.1199989319
420031706003,548,70,618,99.8399963379,28.2800006866,71.7200012207
420031803001,873,193,1066,97.4400024414,64.5,35.5
420031803002,666,0,666,100.0,9.80000019073,90.1999969482
420031803003,634,3,637,86.5500030518,12.9499998093,87.0500030518
420031807001,390,191,581,93.7099990845,35.3300018311,64.6699981689
420031807002,407,242,649,94.1900024414,61.0999984741,38.9000015259
420031807003,691,9,700,99.7200012207,17.8299999237,82.1699981689
420031903001,1161,47,1208,98.2099990845,56.8400001526,43.1599998474
420031903002,573,113,686,96.3499984741,55.25,44.75
420031911001,379,341,720,75.5500030518,58.7900009155,41.2099990845
420031911002,331,278,609,41.9399986267,58.7299995422,41.2700004578
420031914001,532,192,724,53.3899993896,98.5500030518,1.45000004768
420031914002,167,558,725,52.4199981689,79.0199966431,20.9799995422
420031915001,360,312,672,99.4100036621,50.6899986267,49.3100013733
420031915002,483,288,771,56.4000015259,0.0,0.0
420031916001,117,226,343,41.8800010681,71.6299972534,28.3700008392
420031916002,159,200,359,45.7900009155,61.3699989319,38.6300010681
420031916003,90,90,180,25.0,66.1299972534,33.8699989319
420031916004,0,0,0,0.0,0.0,0.0
420031916005,172,264,436,39.8199996948,48.6399993896,51.3600006104
420031917001,517,27,544,25.8600006104,0.0,100.0
420031917002,67,12,79,13.7899999619,0.0,0.0
420031917003,707,23,730,94.6800003052,5.69000005722,94.3099975586
420031918001,653,0,653,97.9000015259,0.0,100.0
420031918002,84,30,114,16.6200008392,0.0,0.0
420031918003,355,119,474,67.0400009155,50.3199996948,49.6800003052
420031918004,577,144,721,95.75,17.8899993896,82.1100006104
420031918005,132,179,311,45.1399993896,35.1199989319,64.8799972534
420031918006,27,271,298,30.9099998474,100.0,0.0
420031918007,510,57,567,66.2399978638,13.0500001907,86.9499969482
420031919001,580,0,580,75.7200012207,24.2199993134,75.7799987793
420031919002,727,0,727,87.9100036621,0.0,100.0
420031919003,548,42,590,100.0,24.7199993134,75.2799987793
420031920001,358,29,387,52.7999992371,4.90000009537,95.0999984741
420031920002,437,5,442,66.1699981689,4.82000017166,95.1800003052
420031920003,203,14,217,30.0100002289,29.3899993896,70.6100006104
420031920004,242,0,242,27.1599998474,0.0,100.0
