bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
420030103001,1241,1353,47.8400001526,52.1599998474
420030103002,60,3276,1.79999995232,98.1999969482
420030103003,337,16,95.4700012207,4.53000020981
420030103004,316,1,99.6800003052,0.319999992847
420030201001,1435,0,100.0,0.0
420030201002,936,0,100.0,0.0
420030201003,28,0,100.0,0.0
420030201004,635,163,79.5699996948,20.4300003052
420030201005,8,1,88.8899993896,11.1099996567
420030201006,235,188,55.5600013733,44.4399986267
420030203001,190,426,30.8400001526,69.1600036621
420030305001,1375,20,98.5699996948,1.42999994755
420030305002,830,20,97.6500015259,2.34999990463
420030402001,736,67,91.6600036621,8.34000015259
420030402002,1407,363,79.4899978638,20.5100002289
420030404001,291,345,45.75,54.25
420030404002,295,1557,15.9300003052,84.0699996948
420030405001,1897,7,99.6299972534,0.370000004768
420030405002,1563,227,87.3199996948,12.6800003052
420030406001,2380,12,99.5,0.5
420030409001,1059,48,95.6600036621,4.34000015259
420030409002,1138,2,99.8199996948,0.180000007153
420030409003,704,5,99.2900009155,0.709999978542
420030501001,558,6,98.9400024414,1.05999994278
420030501002,309,107,74.2799987793,25.7199993134
420030501003,727,0,100.0,0.0
420030506001,828,97,89.5100021362,10.4899997711
420030506002,483,0,100.0,0.0
420030506003,530,44,92.3300018311,7.67000007629
420030509001,1150,52,95.6699981689,4.32999992371
420030510001,619,315,66.2699966431,33.7299995422
420030510002,398,774,33.9599990845,66.0400009155
420030511001,1070,52,95.3700027466,4.63000011444
420030603001,1083,31,97.2200012207,2.77999997139
420030603002,1227,0,100.0,0.0
420030605001,648,20,97.0100021362,2.99000000954
420030605002,101,505,16.6700000763,83.3300018311
420030703001,693,0,100.0,0.0
420030703002,673,105,86.5,13.5
420030703003,337,389,46.4199981689,53.5800018311
420030705001,439,818,34.9199981689,65.0800018311
420030705002,724,0,100.0,0.0
420030705003,706,310,69.4899978638,30.5100002289
420030706001,600,321,65.1500015259,34.8499984741
420030706002,613,548,52.7999992371,47.2000007629
420030708001,121,604,16.6900005341,83.3099975586
420030708002,941,39,96.0199966431,3.98000001907
420030709001,1544,218,87.6299972534,12.3699998856
420030709002,0,787,0.0,100.0
420030709003,0,892,0.0,100.0
420030709004,306,1187,20.5,79.5
420030802001,912,137,86.9400024414,13.0600004196
420030802002,628,2,99.6800003052,0.319999992847
420030804001,658,9,98.6500015259,1.35000002384
420030804002,213,489,30.3400001526,69.6600036621
420030806001,1184,129,90.1800003052,9.81999969482
420030806002,685,0,100.0,0.0
420030807001,839,0,100.0,0.0
420030807002,937,9,99.0500030518,0.949999988079
420030809001,995,0,100.0,0.0
420030809002,739,33,95.7300033569,4.26999998093
420030901001,1295,13,99.0100021362,0.990000009537
420030901002,519,16,97.0100021362,2.99000000954
420030902001,872,0,100.0,0.0
420030902002,1021,41,96.1399993896,3.8599998951
420030902003,701,0,100.0,0.0
420030903001,1053,28,97.4100036621,2.58999991417
420030903002,548,0,100.0,0.0
420031005001,33,791,4.0,96.0
420031005002,0,1255,0.0,100.0
420031011001,1339,0,100.0,0.0
420031011002,641,0,100.0,0.0
420031011003,611,78,88.6800003052,11.3199996948
420031014001,0,1091,0.0,100.0
420031014002,24,646,3.57999992371,96.4199981689
420031014003,0,822,0.0,100.0
420031014004,0,730,0.0,100.0
420031016001,508,349,59.2799987793,40.7200012207
420031017001,607,0,100.0,0.0
420031017002,855,3,99.6500015259,0.34999999404
420031018001,661,345,65.7099990845,34.2900009155
420031018002,708,808,46.7000007629,53.2999992371
420031102001,808,0,100.0,0.0
420031102002,491,245,66.7099990845,33.2900009155
420031102003,10,1187,0.839999973774,99.1600036621
420031102004,10,1220,0.810000002384,99.1900024414
420031106001,931,38,96.0800018311,3.92000007629
420031106002,709,7,99.0199966431,0.980000019073
420031106003,582,139,80.7200012207,19.2800006866
420031113001,124,633,16.3799991608,83.6200027466
420031113002,67,557,10.7399997711,89.2600021362
420031113003,395,184,68.2200012207,31.7800006866
420031113004,601,78,88.5100021362,11.4899997711
420031114001,501,74,87.1299972534,12.8699998856
420031114002,778,0,100.0,0.0
420031115001,757,0,100.0,0.0
420031115002,1529,9,99.4100036621,0.589999973774
420031115003,169,1,99.4100036621,0.589999973774
420031115004,750,15,98.0400009155,1.96000003815
420031203001,768,184,80.6699981689,19.3299999237
420031203002,509,189,72.9199981689,27.0799999237
420031204001,363,180,66.8499984741,33.1500015259
