Heading,Address,Zipcode,Category,Region Name
Indiana County Tourist Bureau,"Indiana Mall, 2334 Oakland Ave.
Indiana, Pennsylvania 15701",15701.0,cultural,
ASCEND Climbing,"2141 Mary St.
Pittsburgh, Pennsylvania 15203",15203.0,fitness,North Oakland
ASCEND Climbing,"2141 Mary St.
Pittsburgh, Pennsylvania 15203",15203.0,fitness,Shadyside
ASCEND Climbing,"2141 Mary St.
Pittsburgh, Pennsylvania 15203",15203.0,fitness,Squrrle Hill
Kayak Pittsburgh,"317 East Carson St., Ste.160
Pittsburgh, Pennsylvania 15219",15219.0,fitness,North Oakland
Kayak Pittsburgh,"317 East Carson St., Ste.160
Pittsburgh, Pennsylvania 15219",15219.0,fitness,Shadyside
Kayak Pittsburgh,"317 East Carson St., Ste.160
Pittsburgh, Pennsylvania 15219",15219.0,fitness,Squrrle Hill
FA Climbing & Fitness,"195 W. Station Square Dr.
Pittsburgh, Pennsylvania 15219",15219.0,fitness,North Oakland
FA Climbing & Fitness,"195 W. Station Square Dr.
Pittsburgh, Pennsylvania 15219",15219.0,fitness,Shadyside
FA Climbing & Fitness,"195 W. Station Square Dr.
Pittsburgh, Pennsylvania 15219",15219.0,fitness,Squrrle Hill
Bike Pittsburgh,"188 43rd St., #1
Pittsburgh, Pennsylvania 15201",15201.0,fitness,North Oakland
Bike Pittsburgh,"188 43rd St., #1
Pittsburgh, Pennsylvania 15201",15201.0,fitness,Shadyside
Bike Pittsburgh,"188 43rd St., #1
Pittsburgh, Pennsylvania 15201",15201.0,fitness,Squrrle Hill
GO Laurel Highlands,"113 East Main St.
Ligonier, Pennsylvania 15658",15658.0,outdoor,
The Clemente Museum,"3339 Penn Ave.
Pittsburgh, Pennsylvania 15201",15201.0,cultural,North Oakland
The Clemente Museum,"3339 Penn Ave.
Pittsburgh, Pennsylvania 15201",15201.0,cultural,Shadyside
The Clemente Museum,"3339 Penn Ave.
Pittsburgh, Pennsylvania 15201",15201.0,cultural,Squrrle Hill
Edgewood Country Club,"100 Churchill Rd
Pittsburgh, Pennsylvania 15235",15235.0,outdoor,
Laurel Highlands River Tours,"PO Box 107
4 Sherman St.
Ohiopyle, Pennsylvania 15470",15470.0,outdoor,
Great Allegheny Passage,"25045 Three Rivers Heritage Trail
Pittsburgh, Pennsylvania 15219",15219.0,fitness,North Oakland
Great Allegheny Passage,"25045 Three Rivers Heritage Trail
Pittsburgh, Pennsylvania 15219",15219.0,fitness,Shadyside
